epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2763.79,1.01083,0.62729,1.03447,0.87687,0.91061,0.92845,0.58094,1.19626,0.68673,1.23735,0.000462259,0.000462259,0.000462259
75,2801.4,1.01217,0.62633,1.03134,0.89746,0.91137,0.9232,0.56889,1.25019,0.70884,1.28152,0.000445756,0.000445756,0.000445756
76,2837.84,1.02196,0.62263,1.03664,0.88342,0.90835,0.92054,0.58437,1.22055,0.70325,1.25379,0.000429253,0.000429253,0.000429253
77,2874.78,1.01832,0.61766,1.03958,0.88109,0.89161,0.92265,0.56739,1.22642,0.68825,1.24675,0.000412749,0.000412749,0.000412749
78,2911.23,0.9934,0.60904,1.02641,0.86367,0.88547,0.90561,0.55307,1.22281,0.74424,1.25131,0.000396246,0.000396246,0.000396246
79,2947.15,0.9933,0.60541,1.02663,0.87431,0.89703,0.92808,0.57383,1.19765,0.70975,1.24586,0.000379743,0.000379743,0.000379743
80,2982.97,0.99438,0.60445,1.02753,0.86568,0.91238,0.91733,0.55326,1.2468,0.70259,1.26728,0.000363239,0.000363239,0.000363239
81,3018.69,0.98208,0.58862,1.02251,0.86318,0.88578,0.92092,0.57371,1.19091,0.71237,1.23134,0.000346736,0.000346736,0.000346736
82,3055.03,0.97054,0.58826,1.02238,0.87332,0.89908,0.91627,0.57124,1.22134,0.6942,1.25357,0.000330233,0.000330233,0.000330233
83,3093,0.97317,0.58821,1.0217,0.88836,0.86847,0.91562,0.56824,1.22625,0.71593,1.26568,0.000313729,0.000313729,0.000313729
84,3130.06,0.96677,0.5795,1.01796,0.88814,0.89896,0.92083,0.57141,1.23359,0.68953,1.26789,0.000297226,0.000297226,0.000297226
85,3167.85,0.95089,0.57571,1.012,0.86371,0.90782,0.91955,0.57518,1.22361,0.67547,1.2733,0.000280723,0.000280723,0.000280723
86,3205.55,0.96815,0.56992,1.02676,0.87709,0.89385,0.90754,0.56432,1.23849,0.69469,1.27475,0.00026422,0.00026422,0.00026422
87,3242.05,0.94298,0.57661,1.01531,0.86133,0.91341,0.9077,0.56903,1.22835,0.67921,1.26712,0.000247716,0.000247716,0.000247716
88,3279.68,0.94229,0.56869,1.01463,0.88024,0.90689,0.91777,0.57079,1.20778,0.6785,1.26327,0.000231213,0.000231213,0.000231213
89,3317.54,0.94284,0.56023,1.00273,0.88008,0.91685,0.92563,0.56946,1.24378,0.68492,1.27796,0.00021471,0.00021471,0.00021471
90,3354.03,0.93837,0.55511,1.00728,0.87313,0.87707,0.90639,0.5649,1.23331,0.71309,1.25616,0.000198206,0.000198206,0.000198206
91,3420,0.93291,0.56093,1.01074,0.8659,0.90359,0.90558,0.55928,1.24985,0.71211,1.28986,0.000181703,0.000181703,0.000181703
92,3456.37,0.90384,0.53848,1.00203,0.86964,0.90664,0.92506,0.5719,1.24103,0.68099,1.28051,0.0001652,0.0001652,0.0001652
