Device: cuda
Vocab size (incl. blank): 61
Train: 1363, Val: 165
epoch  89/100  loss 1.5436  val CER 46.64  WER 67.26  exact 0.0%  (17.3s, lr 3.29e-05)
epoch  90/100  loss 1.5401  val CER 46.19  WER 67.68  exact 0.0%  (17.2s, lr 2.72e-05)
epoch  91/100  loss 1.5373  val CER 46.44  WER 67.51  exact 0.0%  (18.3s, lr 2.21e-05)
epoch  92/100  loss 1.5333  val CER 46.10  WER 67.76  exact 0.0%  (17.2s, lr 1.75e-05)
epoch  93/100  loss 1.5310  val CER 46.36  WER 68.10  exact 0.0%  (17.4s, lr 1.34e-05)
epoch  94/100  loss 1.5344  val CER 46.53  WER 67.59  exact 0.0%  (17.8s, lr 9.89e-06)
epoch  95/100  loss 1.5329  val CER 46.39  WER 68.01  exact 0.0%  (17.4s, lr 6.88e-06)
epoch  96/100  loss 1.5321  val CER 46.41  WER 67.68  exact 0.0%  (17.6s, lr 4.42e-06)
epoch  97/100  loss 1.5330  val CER 46.46  WER 67.68  exact 0.0%  (17.3s, lr 2.50e-06)
epoch  98/100  loss 1.5322  val CER 46.39  WER 67.68  exact 0.0%  (17.3s, lr 1.12e-06)
epoch  99/100  loss 1.5275  val CER 46.48  WER 68.10  exact 0.0%  (17.8s, lr 2.87e-07)
epoch 100/100  loss 1.5250  val CER 46.41  WER 67.85  exact 0.0%  (17.3s, lr 1.55e-10)
Best val CER 46.10% at epoch 92. Wrote C:\Users\qxawe\NLP_Project\.claude\worktrees\elated-meninsky-959dc4\PartC\runs\resnet18.
